Súlyosság,Dimenzió,Asset ID,Probléma,Javasolt javítás
fontos,Produkciós megvalósíthatóság & alulspecifikáltság,M6.3-FOTO-04,"Eldöntetlen fotó/illusztráció + GDPR, és nincs széria-szintű stílus-kötés a többi M6.3 FOTO-assethez. Önállóan alulspecifikált a legyártáshoz (modalitás nyitott).","[✅ DÖNTVE (emberi): illusztráció — az egész M6.3-FOTO szériát (FOTO-01..05) illusztrációként gyártjuk; GDPR/kiskorú-kockázat megszűnt. A regiszterben FOTO→illusztráció típusra váltva, provenance=AI-generált.] Vond be az M6.3-FOTO közös szériába egységes modalitással és stílussal."
fontos,Produkciós megvalósíthatóság & alulspecifikáltság,M6.3-FOTO-05,"Eldöntetlen fotó/illusztráció + GDPR, nincs széria-stílus-kötés. A legyártáshoz hiányzik a modalitás-döntés.","[✅ DÖNTVE (emberi): illusztráció — az egész M6.3-FOTO szériát (FOTO-01..05) illusztrációként gyártjuk; GDPR/kiskorú-kockázat megszűnt. A regiszterben FOTO→illusztráció típusra váltva, provenance=AI-generált.] Vond be az M6.3-FOTO közös szériába; a kvuca-zászló jelenet stílusát a széria-tokenhez igazítsd."
fontos,Produkciós megvalósíthatóság & alulspecifikáltság,M6.3-NAR-01,"Provenance 'AI-generált (szintetizált narráció) vagy emberi-felvétel (felmondás)' — eldöntetlen gyártási út. Az M6.3 hat narrációja (NAR-01..06) közös hangkaraktert igényel a lecke koherenciájához, de sem a TTS-motor/voice, sem a felmondó nincs fixálva.","[R3 ✅ — Produkciós konvenció: Narrátor hang-bible.] Egységes hang-döntés az M6.3 teljes NAR-sorozatára (egy voice mind a 6-hoz), konkrét motor/voice-ID vagy felmondó megnevezésével."
fontos,Produkciós megvalósíthatóság & alulspecifikáltság,M6.4-IKO-01,"9 visszatérő szekciójelölő ikon (Kvuca/Cél/Időkeret/Tér/Miért jó döntés/Miben rejt kockázatot/Hogyan inkluzívabbá/Mini-reflexió/Feladat), amely a teljes Branching Scenarión át strukturál — nagy batch, de a 'lapos-stílusú' és 'min. 64x64px' túl tág; nincs paletta, vonalvastagság, és a 'szín nem lehet az egyetlen információhordozó' követelmény forma-megkülönböztetési specifikációja hiányzik.","[R5 ✅ — Produkciós konvenció: Ikon- és karakter-batch + lock.] Rögzítsd a 9-ikonos batch közös stílus-tokenjét (paletta, vonalvastagság, forma-rendszer) úgy, hogy mind a 9 forma egyértelműen megkülönböztethető legyen szín nélkül is; egyetlen gyártási tételként kezeld."
fontos,Stílus- & hang-konzisztencia,M1.1-VID-01,"AI-provenance jelölés HIÁNYZIK az M0–M3 beszélőfej-videóknál, miközben az M4-től kezdve (M4.1-IKO-01) és az M5/M6/M7 modulokban kötelező provenance-asset szerepel. Az M1.1-VID-01, M1.2-VID-01, M1.3-VID-01, M2.1/M2.2/M2.3/M2.4-VID, M3.1/M3.2/M3.3/M3.4-VID assetekhez nincs hozzárendelt AI-jelölés-asset – etikai-átláthatósági inkonzisztencia a tananyag első felében.","[R1 ✅ — Produkciós konvenció: Egységes AI-jelölés.] Vegyél fel provenance-jelölés assetet (vagy modul-szintű előírást) az M0–M3 beszélőfej-videókhoz is, az egységes mintát követve."
fontos,Stílus- & hang-konzisztencia,M2.3-IKO-01,"Színkód-szemantika ütközés modulok között: az SBI-rendszer kék=S, zöld=B, narancs=I (M1.3-IKO-01, M1.4-IKO-01); az M2.3 pillérek kék=Cionizmus, piros=Szocializmus, zöld=Humanista zsidóság (M2.3-IKO-01); az M4.3 kérdéstípusok zöld=Nyitott, kék=Zárt, sárga=Tisztázó, piros=Irányító (M4.3-IKO-01). Ugyanaz a kék és zöld három különböző jelentést hordoz a tananyagon belül, ami megtöri a vizuális színnyelv konzisztenciáját.","[R6 ✅ — Produkciós konvenció: Szín-szótár.] Vezess egy tananyag-szintű szín-szótárat: ahol lehet, kerüld ugyanazon alapszínek eltérő szemantikai újrahasznosítását, vagy explicit jelöld, hogy a színkód mindig csak a saját lecke-kontextusában értelmezendő (és a szín soha ne legyen az egyetlen információhordozó – ez WCAG-ból amúgy is következik)."
fontos,Stílus- & hang-konzisztencia,M4.1-IKO-01,"AI-provenance jelölés stílus-inkonzisztencia: az M4.1-IKO-01 vizuális robot-badge-et ír elő a videó sarkában ('🤖 Ez a videó generatív AI-val készült'), az M5.1-EGY-01 / M6.1-EGY-01 szöveges sort ('AI-generált avatar, a szöveget ember írta és lektorálta' / 'A videók egy része AI-eszközzel készült'), az M7.2/M7.3/M7.4 videók pedig 'AI-generált avatar, narrációt madrich lektorálta' feliratot. Háromféle megfogalmazás és kétféle megjelenési forma (badge vs. szövegsor) ugyanarra a célra.","[R1 ✅ — Produkciós konvenció: Egységes AI-jelölés.] Definiálj egyetlen, kötelező AI-provenance jelölés-mintát (egységes szöveg + egységes megjelenés badge VAGY szövegsor) és alkalmazd minden AI-generált videónál azonosan."
fontos,Stílus- & hang-konzisztencia,M4.1-NAR-01,"Narrátor-regiszter törés: az M4 összes narrációja (M4.1-NAR-01..07, M4.2-NAR-01..04, M4.3-NAR-01..03, M4.4-NAR-01..05) 'semleges-barátságos' hangszínt ír elő, és sehol nem használja a 'tegező' jelzőt. Ezzel szemben az M1 (M1.1-NAR-01 'tegező, barátságos'), M2 (M2.1-NAR-01 'tegező'), M3 (M3.1-NAR-01 'tegező') és M5 (M5.1-NAR-01 'fiatalos tegező') narrációi mind kifejezetten tegező regiszterűek. Ez indokolatlan narrátor-hangnem eltérés a tananyag közepén; a tanuló a modulhatáron személytelenebb hangot hall.","[R3 ✅ — Produkciós konvenció: Narrátor hang-bible.] Egységesítsd az M4 narrációs spec-jét a tananyag-szintű 'tegező, barátságos' regiszterre (M4.1-NAR-01-től M4.4-NAR-05-ig), vagy ha az M4-nél tudatos a semlegesebb hang, rögzítsd indoklással a modul-metában, hogy ne tűnjön elnézésnek."
fontos,Stílus- & hang-konzisztencia,Z.1-NAR-01,"Narrátor-hangnem törés a záró modulban: a Z.1-NAR-01 és Z.1-NAR-02 'semleges felolvasó hangot' ír elő, holott a megelőző M1–M3 és M5 narrációk végig tegező, személyes hangneműek. A félévet lezáró, érzelmileg összegző leckéknél a hirtelen semleges felolvasó-hang elszemélyteleníti a zárást, és kilóg a kialakult narrátor-karakterből.","[R3 ✅ — Produkciós konvenció: Narrátor hang-bible.] Hozd a Z-modul narrációit (Z.1-NAR-01, Z.1-NAR-02, Z.2, Z.3 narrációk) ugyanarra a tegező, meleg hangra, mint az M1–M5 leckékben, hogy a narrátor-karakter végig konzisztens legyen."
javasolt,"AI-jelölés & jogtisztaság (EU AI Act 50. cikk, IP)",M0.3-FOTO-01,"Valós Moodle-felület képernyőképe (3rd-party szoftver UI). Moodle GPL/nyílt, így a screenshot általában megengedett, de a felületen megjelenő egyéb harmadik-fél logók/témák/márkaelemek és bármilyen személyes adat (felhasználónevek) IP/GDPR-kockázatot hordozhatnak.","[R8 ✅ — Produkciós konvenció: GDPR / képmás-védelem.] A screenshot készítésekor anonimizálj (ne legyen valós felhasználónév/arc/azonosító), és győződj meg róla, hogy nem jelenik meg licenc-korlátos 3rd-party téma/logó. Dokumentáld, hogy a Moodle GPL alatt megosztható."
javasolt,"AI-jelölés & jogtisztaság (EU AI Act 50. cikk, IP)",M0.A-FOTO-01,"Élő helyszíni dokumentáló fotók kitöltött kvuca-plakátokról ('emberi-felvétel'). Ha a fotón résztvevők (esetleg kiskorúak) kézírása/arca/azonosítható adata szerepel, GDPR-/képmás-kockázat — a regiszter itt (szemben az M6.3 fotókkal) nem ír elő hozzájárulási kikötést.",[R8 ✅ — Produkciós konvenció: GDPR / képmás-védelem.] Vedd át az M6.3-FOTO mintáját: dokumentált GDPR-hozzájárulás (kiskorúnál szülői) vagy keretezz ki minden azonosítható személyt/kézírást; archiváláskor anonimizálj.
javasolt,"AI-jelölés & jogtisztaság (EU AI Act 50. cikk, IP)",M4.1-IKO-01,"Ez a 'AI-címke' badge ('🤖 Ez a videó generatív AI-val készült') ember-olvasható átláthatósági jelölés — helyes irány, de a regiszter ezt csak az M4.1 videójához rendeli, nem rendszerszinten minden AI-assethez. Önmagában ember-olvasható (UNESCO-etika), NEM elégíti ki az AI Act gépi-olvashatósági követelményét.","[R1 ✅ — Produkciós konvenció: Egységes AI-jelölés.] Általánosítsd ezt a badge-mintát minden AI-videóra/-képre, ÉS egészítsd ki gépi-olvasható réteggel (C2PA). A badge szövege maradjon valódi, kijelölhető szöveg (ne képbe égetve)."
javasolt,Akadálymentesség (WCAG 2.2),M2.3-VID-02,"Az OUTRO beszélőfej-videó opcionális/feltételes; az a11y-jegyzet kötelező feliratot+leiratot ír elő, és a kapcsolódó M2.3-NAR-03 narrációhoz létezik FEL-03 és LEI-03. A lefedettség formálisan rendben van, de mivel a videó léte fejlesztői döntés ('ha videó készül'), érdemes explicitté tenni, hogy videó-forma esetén a felirat is kötelező a NAR-03 feliratán túl.","[✅ TISZTÁZVA: a meglévő M2.3-FEL-03 + M2.3-LEI-03 lefedi a feliratot+leiratot; nincs hiányzó asset.] Rögzítsd egyértelműen, hogy ha az OUTRO videóként valósul meg, a meglévő M2.3-FEL-03/LEI-03 lefedi a feliratot+leiratot; nincs külön hiányzó asset."
javasolt,Produkciós megvalósíthatóság & alulspecifikáltság,M0.1-IKO-02,"Három 'összehangolt stílusú' ikon (kézfogás/létra/pajzs), de a stílus-token (lapos vs. line, paletta, méret-egységesség az M0.1-IKO-01-gyel) nincs rögzítve. A spec szövege levágva ('Egységes'), így a gyártó nem tudja, mihez igazítson.","[R5 ✅ — Produkciós konvenció: Ikon- és karakter-batch + lock.] Rögzítsd, hogy M0.1-IKO-01 és M0.1-IKO-02 közös M0-stílusú batch, és add meg a konkrét stílus-paramétereket (méret 256–512px közötti egységes választás, paletta)."
javasolt,Produkciós megvalósíthatóság & alulspecifikáltság,M0.2-IKO-02,"A spec explicit 'Egységes stílus a SLIDE 1 ikonokkal' (azaz M0.2-IKO-01-gyel) — vagyis M0.2 mindkét ikonkészlete (IKO-01 + IKO-02) egy közös vizuális nyelvet feltételez, de külön assetId alatt, közös stílus-token nélkül. A 'egyforma vizuális nyelv' nincs konkretizálva.","[R5 ✅ — Produkciós konvenció: Ikon- és karakter-batch + lock.] Definiáld az M0.2 ikon-stílus-tokent (vonalvastagság, paletta) egyszer, és batch-eld M0.2-IKO-01 + M0.2-IKO-02 közös gyártásba."
javasolt,Produkciós megvalósíthatóság & alulspecifikáltság,M0.4-IKO-01,"Visszatérő ikonkészlet (csoportchat/insta/online játék/Moodle), amelyre az M0.4-ILL-02 és M0.4-ILL-03 is hivatkozik ('egységes stílus az M0.4-IKO-01 ikonkészlettel'). Tehát ez stílus-anchor 3 asset számára, de a stílus-token (vonalvastagság, paletta, világos/sötét háttér-variánsok) csak prózában van, nem gyártható paraméterként.","[R5 ✅ — Produkciós konvenció: Ikon- és karakter-batch + lock.] Emeld stílus-anchorré: rögzített ikon-token (SVG, vonalvastagság, paletta, light/dark variáns), amire ILL-02 és ILL-03 építkezik — így a 3 asset egy konzisztens batch."
javasolt,Produkciós megvalósíthatóság & alulspecifikáltság,M1.4-IKO-01,"A spec maga kimondja, hogy 'az M1.3-ban használt ikon-stílussal és színekkel megegyezően' — tehát ez nem önálló asset, hanem M1.3-IKO-01 újrafelhasználása. Külön assetId-ként nyilvántartva duplikált gyártás kockázata.","[R5 ✅ — Produkciós konvenció: Ikon- és karakter-batch + lock.] Jelöld 'reuse of M1.3-IKO-01'-ként, ne önálló gyártási tételként; a regiszterben hivatkozás, nem új produkció."
javasolt,Produkciós megvalósíthatóság & alulspecifikáltság,M2.1-VID-01,"'Semleges someres színekkel, letisztult háttér' — a 'someres színek' és 'letisztult' nincs konkrét palettával/háttér-spec-kel megadva; az avatar identitása sem kötött a többi modulhoz. A 'max 10–12 szavas mondatok' tartalmi, de a vizuális/hang produkciós spec hiányos.",[R5 ✅ — Produkciós konvenció: Ikon- és karakter-batch + lock.] Hivatkozz a program-szintű avatar+paletta standardra (lásd M3.2-VID-01 fix); ne ismételd modulonként prózában a 'someres szín' kifejezést konkrét tokenek nélkül.
javasolt,Produkciós megvalósíthatóság & alulspecifikáltság,M2.3-VID-02,"A spec maga jelzi a bizonytalanságot: a forrás (566) az OUTRO-nál CSAK opcionális narrációt ír elő, beszélőfej-videót NEM — a videó-forma 'fejlesztői döntés'. Tehát az asset léte (videó készül-e egyáltalán) eldöntetlen, ami tervezhetetlenné teszi a gyártást/batch-elést.","[✅ DÖNTÉS: az M2.3 OUTRO alapból narráció-only (M2.3-NAR-03); a VID-02 opcionális — terhelés-csökkentés. Ha mégis videó, R5 (karakter-lock) érvényes.] Hozz explicit döntést: készül-e M2.3-VID-02 videó, vagy csak az M2.3-NAR-03 narráció marad; ha videó, kösd a program-avatar standardhoz."
javasolt,Produkciós megvalósíthatóság & alulspecifikáltság,M3.2-VID-01,"Beszélőfej-videó 'tegező hang' + 30–40 mp adott, de az avatar vizuális identitása és a hang konkrét karaktere (ki/milyen) nincs rögzítve, és nincs kötés a program egészének avatar/hang-standardjához. Modulonként eltérő avatar/hang kockázata az egész VID-állományban szisztematikus.","[R3 ✅ — Produkciós konvenció: Narrátor hang-bible.] Vezess be program-szintű avatar+hang standardot (1 vagy néhány fix avatar+voice), amire minden modul VID/NAR assetje hivatkozik; ez egyszer megoldja a teljes VID/NAR konzisztenciát."
javasolt,Produkciós megvalósíthatóság & alulspecifikáltság,M4.1-FOTO-01,"Két freeze-frame az IV-videókból (karba tett vs. nyitott kéz) — derivált asset, forrása az M4.1-VID-03/05 jelenetek. Ha a videó-karakter nincs lockolva, a freeze-frame-ek nem garantáltan ugyanazt a figurát mutatják; a 'jól látható különbség' nincs mérhető kritériumként megadva.","[R5 ✅ — Produkciós konvenció: Ikon- és karakter-batch + lock.] Jelöld derivált assetnek (forrás: M4.1-VID-03/05), és kösd a videó karakter-lockjához; ne önálló fotó-produkcióként ütemezd."
javasolt,Produkciós megvalósíthatóság & alulspecifikáltság,M4.1-FOTO-02,"Ugyanaz, mint FOTO-01: derivált freeze-frame-pár, a forrás-videó karakter-konzisztenciájától függ. Önállóan ütemezve duplikált/inkonzisztens gyártás kockázata.",[R5 ✅ — Produkciós konvenció: Ikon- és karakter-batch + lock.] Derivált asset jelölés + videó-batch-hez kötés (lásd FOTO-01).
javasolt,Produkciós megvalósíthatóság & alulspecifikáltság,M4.3-DIA-01,"Színkódolt négydobozos diagram (zöld/kék/sárga/piros kérdéstípusok), de a négy szín nincs konkrét hex-kóddal rögzítve, és a hozzá tartozó M4.3-IKO-01 'szín-ikon/jelölő' készlet ugyanazokat a színeket használja vissza (SLIDE 2 + SLIDE 4) — közös szín-token nélkül a diagram és az ikonok színe szétcsúszhat.","[R5 ✅ — Produkciós konvenció: Ikon- és karakter-batch + lock.] Rögzítsd a 4 kérdéstípus konkrét hex-palettáját egy közös tokenben, amit M4.3-DIA-01 és M4.3-IKO-01 (és a SLIDE 4 sorting) közösen használ; batch-eld a szín-ikonokat egyszer."
javasolt,Produkciós megvalósíthatóság & alulspecifikáltság,M4.3-IKO-01,"Visszatérő 4 szín-ikon (Nyitott/Zárt/Tisztázó/Irányító), amely 'szín + forma (színvakság-barát)'-ot kér, de a konkrét formajegyek és hex-színek nincsenek megadva; a diagrammal (M4.3-DIA-01) közös palettát igényel, külön gyártva inkonzisztencia-kockázat.",[R5 ✅ — Produkciós konvenció: Ikon- és karakter-batch + lock.] Egy batch a DIA-01-gyel közös szín-tokenre építve; add meg a forma-megkülönböztetést (nem csak szín) konkrétan a színvakság-barát követelmény teljesítéséhez.
javasolt,Produkciós megvalósíthatóság & alulspecifikáltság,M5.1-NAR-01,"Provenance 'vegyes', a hang 'fiatalos tegező' leírás adott, de konkrét voice-ID/felmondó nincs, és az M5.1 három narrációjának (NAR-01/02/03) egységes hangját semmi nem garantálja explicit kötéssel. A kapcsolódó FEL/LEI 'emberi-felvétel' provenance-ű, ami ellentmondhat egy TTS NAR-nak.",[R3 ✅ — Produkciós konvenció: Narrátor hang-bible.] Rögzítsd az M5.1 közös hangkarakterét és gyártási útját; tisztázd a NAR ('vegyes') és a felirat/leirat ('emberi-felvétel') provenance közötti összhangot.
javasolt,Produkciós megvalósíthatóság & alulspecifikáltság,M7.4-IKO-01,"A spec kimondja 'egységes ikon-/piktogram-stílusban' a Parparim/Kivsza/Leviatan/Zorea piktogramokra, ami funkcionálisan azonos az M3.2-IKO-01 készlettel (itt kor-címkékkel kiegészítve) — duplikált gyártási kockázat, ha nem batch-elik.","[R5 ✅ — Produkciós konvenció: Ikon- és karakter-batch + lock.] Származtasd az M3.2-IKO-01 közös kvuca-batch-ből; az egyetlen különbség a kor-címke overlay, ami szövegréteg, nem új ikon."
javasolt,Stílus- & hang-konzisztencia,M0.2-ALT-01,"Provenance-mező inkonzisztencia a szöveges ekvivalenseknél: az M0.1 alt-szövegei (M0.1-ALT-01, M0.1-ALT-03) 'AI-generált' provenance-szal szerepelnek, ugyanakkor az M0.2 ugyanolyan típusú alt-szövegei (M0.2-ALT-01..04) 'emberi-felvétel' provenance-t kapnak – azonos asset-típusra, azonos modulban, eltérő készítési forrás-jelölés indoklás nélkül. Hasonló keveredés végig (pl. M1.1-ALT-01 'emberi-felvétel' vs. M1.2-ALT-01 'AI-generált'). Ez nem vizuális/hang-törés, de a regiszter belső stílus-konzisztenciáját rontja.","[R1 ✅ — Produkciós konvenció: Egységes AI-jelölés.] Egységesítsd a szöveges-ekvivalens assetek (alt-szöveg, felirat, leirat) provenance-jelölését egy konzisztens szabály szerint (pl. minden alt-szöveg 'vegyes' vagy a tényleges munkamenet szerint), hogy a regiszter ne sugalljon eltérő minőségi/forrás-szintet azonos asset-típusoknál."
javasolt,Stílus- & hang-konzisztencia,M4.2-ILL-01,"HOOK-formátum inkonzisztencia az M4 modulon belül: az M4.1-VID-01 beszélőfej-videóval indít (mint az M1–M3 és M6–M7 leckék többsége), de az M4.2-ILL-01, M4.3-ILL-01 és M4.4-ILL-01 mind STATIKUS illusztrációval nyitja a HOOK-ot, beszélőfej-videó nélkül. Ez a modulon belüli nyitó-élmény váltakozása; a tanuló az M4.1 után már videós HOOK-ot várna.","[⟬SZERZŐI DÖNTÉS⟭ M4 HOOK-formátum: javaslat — M4.1 marad videó-HOOK (indokolt), M4.2–4.4 egységes statikus illusztráció + narráció. Megerősítendő.] Döntsd el modul-szinten a HOOK-formátumot (beszélőfej-videó vagy statikus illusztráció + narráció), és tartsd egységesen az M4.1–M4.4 leckéken belül, vagy rögzítsd, miért tér el az M4.1."
javasolt,Tartalmi & terminológiai helyesség,M1.1-NAR-04,"A SLIDE 4 narráció 4 példája és a Johari-mező-megfeleltetés belső konzisztenciája ellenőrzendő: 'jó beszélgetőtárs/figyelés (vakfolt)' — a vakfolt mező definíció szerint az, amit MÁSOK látnak, de ÉN nem. Egy 'jó beszélgetőtárs' önjellemzés akkor vakfolt, ha a tanuló maga nem tudja magáról; a contentSpec rövidítése miatt ez félreérthető lehet a NAR-03 (SLIDE 3) definíciós sorrendhez képest, ahol a vakfolt 'mások látják, te nem' szerepel.","[ℹ️ TARTALMI ELLENŐRZÉS: a SLIDE 4 négy példája illeszkedjen a kánoni Johari-mezőkhöz (vakfolt = MÁSOK látják, ÉN nem). A korábbi auditok a Johari-koncepciót kánonira hozták.] Biztosítsd, hogy a SLIDE 4 négy hétköznapi példája pontosan illeszkedjen a SLIDE 3 mező-definíciókhoz (nyitott/rejtett/vakfolt/ismeretlen), és a vakfolt-példa egyértelműen 'amit mások látnak rajtad, de te nem' logikát kövesse, ne fordítva."
javasolt,Tartalmi & terminológiai helyesség,M3.1-NAR-02,"A narráció contentSpec az ötödik Tuckman-szakaszt (adjourning) '1977-es' évszámmal és 'Mary Ann Jensennel' társítja. A Tuckman-modell eredeti négy szakasza 1965-ös; az ötödik (adjourning/mourning) szakaszt Tuckman és Mary Ann Conover Jensen 1977-ben adta hozzá. A 'Mary Ann Jensen' névalak hiányos/pontatlan lehet (Mary Ann C. Jensen), és az évszám-attribúció tényszerűsége fontos, mert tanári narrációként hangzik el.","[✅ ELLENŐRIZVE: a forrás (M3.1, 124. sor) helyes — Tuckman 1977, Mary Ann Jensen, adjourning. Kánoni, nincs javítandó.] Ellenőrizd és pontosítsd: az ötödik szakasz (adjourning) 1977, Bruce Tuckman és Mary Ann C. Jensen közös munkája. Egységesítsd a névalakot a tananyag más előfordulásaival (M3.1-LEI-02, M3.1-FEL-02), nehogy eltérő névforma kerüljön a feliratba/leiratba."
javasolt,Tartalmi & terminológiai helyesség,M3.2-DIA-04,"A korosztály-térkép táblázat sorai Parparim (6–10), Kivsza (11–13), Leviatan (14–16), Zorea (16+). Ez ellentmond az M3.2-NAR-02/M3.2-IKO-01 sorrend-logikájának NEM, de a korosztály-sávok konzisztenciáját érdemes egyeztetni más modulokkal: M6.1-DIA-01 és M7.4-IKO-01 ugyanezt a 4 profilt és korosztályt használja (Parparim 6–10, Kivsza 11–13, Leviatan 14–16, Zorea 16+) — itt egyezik. Ez nem hiba, hanem megerősítendő kereszthivatkozás, mert egyetlen sáveltérés is terminológiai ellentmondást okozna a teljes tananyagban.","[✅ ELLENŐRIZVE: a korosztály-sávok (Parparim 6–10, Kivsza 11–13, Leviatan 14–16, Zorea 16+) kánoniak és modulok között konzisztensek.] Tartsd fenn a 4 kvuca-profil korosztály-sávjainak kanonikus egységét minden modulban (M3.2, M6.1, M7.4); ne térjen el egyetlen asset sem. Jelenleg konzisztens — csak validáláskor zárolni kell."
