Kanonikus (megtartandó),Tagok,Bucket,Indok / újrahasznosítás
M1.1-VID-01,"M1.1-VID-01, M1.1-VID-01",Videó,"Két azonos ID-jű bejegyzés ugyanarra a 'Johari-ablak bevezető' AI beszélő-fej videóra hivatkozik: egyszer a részletes M1.1 leckefájlban (M1.1 – Johari-ablak..., SLIDE 1 HOOK), egyszer pedig a modul-áttekintő fájlban (M1 – „Vakfolt, tükör, feedback”..., §3 / M1.1, sor 53-59). Ugyanaz az ID, ugyanaz a deliverable (16:9 AI beszélő-fej, Johari 4 mezője + 'meglepő visszajelzés' hook, fő üzenet 'vakfolt ≠ velem baj van'). A két dokumentum ugyanazt az egy legyártandó videót írja le, nem két különböző médiát. — Egyetlen videó, amelyet a modul-áttekintő fájl csak összefoglalóként megismétel. Nincs eltérő felhasználás – ugyanaz a fájl kerül be az M1.1 H5P Course Presentation SLIDE 1 HOOK helyére. Egyszer kell legyártani."
M1.3-VID-01,"M1.3-VID-01, M1.3-VID-01",Videó,"Két azonos ID-jű bejegyzés ugyanarra az SBI Interactive Video-ra hivatkozik: a részletes M1.3 leckefájlban (M1.3 – SBI-modell..., SLIDE 1, beépített Single Choice) és a modul-áttekintő fájlban (M1 – „Vakfolt, tükör, feedback”..., §3 / M1.3, sor 86). Mindkettő ugyanazt írja le: ugyanaz a folyosó-jelenet két madrich közt, egymás után két verzióban (címkéző 'mindig szétszúrod a peulát' vs. SBI-s), S/B/I részeknél kiemeléssel, beágyazott Single Choice-szal. Ugyanaz az ID, ugyanaz a legyártandó interaktív videó. — Egyetlen H5P Interactive Video, amelyet az áttekintő fájl csak röviden összefoglal. Az M1.3 lecke SLIDE 1 helyén használt forrás. Egyszer kell legyártani, nincs külön felhasználási variáns."
M1.1-DIA-01 (M1.1 lecke),"M1.1-DIA-01 (M1.1 – Johari-ablak lecke), M1.1-DIA-01 (M1 hub)",Diagram & ábra,"Mindkét asset ugyanazt az animált 2×2-es Johari-ablak diagramot írja le (négy mező: nyitott/vakfolt/rejtett/ismeretlen, a tengelyek fokozatos felépülésével és a 'vakfolt' mező kiemelésével). A két azonos azonosító (M1.1-DIA-01) nem véletlen: az M1 hub §3 / M1.1 'Eszközök' sora (54. sor: 'diagram-animáció') pontosan ugyanarra a Johari-animációra mutat, amelyet az M1.1 mikrolecke SLIDE 3 INPUT 1 blokkja használ. A hub csak hivatkozik a lecke médiájára – egy darab médiát kell legyártani. — Egy darab animált Johari-diagram készül az M1.1 leckéhez; az M1 modulvázlat (hub) ugyanezt a meglévő médiát hivatkozza/újrahasználja, nincs külön legyártandó változat."
Z.1-DIA-01 (Z.1 lecke),"Z.1-DIA-01 (Z.1 – Visszanéző tükör lecke), Z.1-DIA-01 (Z hub)",Diagram & ábra,"Azonos azonosító (Z.1-DIA-01) és azonos médiaspec: vízszintes M0→M7 idővonal-diagram, nyolc állomással balról jobbra, modulonként 1 rövid kulcsmondattal/címkével, és a záró nyitott-kérdés zónával ('Írj le 1 dolgot, amit semmiképp nem szeretnél elfelejteni…'). A Z hub Z.1 blokkja 'Eszközök: Moodle Page (vizuális timeline)' néven ugyanazt a vizuális timeline-t írja le, amit a Z.1 mikrolecke SLIDE 2 megjelenít. Egy darab média, a hub csak hivatkozik rá. — Egyetlen M0→M7 vizuális félév-timeline készül a Z.1 leckéhez; a Z modulvázlat (hub) ugyanezt a Moodle Page timeline-médiát hivatkozza/újrahasználja. Megjegyzés: NEM azonos az M0.1-DIA-01 timeline-nal (az 9 állomásos M0→M7→Z előretekintő útiterv, ez 8 állomásos M0→M7 visszatekintő ív), ezért az nem tartozik ide."
M5.1-IKO-01,"M5.1-IKO-01, M5.1-IKO-01",Ikon,"Kétszer szerepel UGYANAZ az asset ID (M5.1-IKO-01) ugyanazzal a tartalommal: háromelemű tanulásforma-ikon-készlet (formális=Suli/iskola, nonformális=Somer/kvuca, informális=Random/chat). Az egyik bejegyzés a lecke-fájlból (M5.1 ... Suli _ Somer _ random.md), a másik a modul-áttekintő fájlból (M5 – „Ez most játék vagy tanulás_”...md) származik, de pontosan egy legyártandó ikon-grafikát jelölnek az M5.1 Input-slide-jához. Azonos azonosító + azonos spec = egyetlen asset. — Nincs eltérés: ugyanaz a három ikon ugyanarra az M5.1 Input-slide-ra. Egyszer kell legyártani; a modul-áttekintő fájl csak ismétli a hivatkozást."
M1.3-IKO-01,"M1.3-IKO-01, M1.4-IKO-01",Ikon,"Ugyanaz a háromelemű SBI vizuális kód: S = kék óra+helyszín(pin), B = zöld szem/fül, I = narancs szív/hullám. Az M1.4 spec szó szerint kiköti: „Az M1.3-ban használt ikon-stílussal és színekkel megegyezően.” Az M1.3 spec szerint pedig ugyanez a kód végigmegy a teljes leckén ÉS a peulákon. Tehát egyetlen ikon-készletet kell legyártani, amit az M1.3 és M1.4 (és a peulák) újrahasznosítanak. — Pontosan azonos ikonok és színkód; az M1.4 H5P mini-quizben jelennek meg, az M1.3 videóban/slide-grafikákon. Csak az elhelyezés/kontextus tér el, maga az ikon-asset identikus."
M3.2-IKO-01,"M3.2-IKO-01, M7.4-IKO-01",Ikon,"Ugyanaz a négy kvuca-ikon/piktogram egységes vizuális rendszerben: Parparim (pillangó 🦋), Kivsza (bárány 🐑), Leviatan (bálna 🐋), Zorea (csíra/növény 🌱). Mindkét lecke pontosan ezt a négy motívumot kéri ugyanazokkal a fajokkal; ez a program egységes kvuca-ikonkészlete (korosztály-térkép). Egyszer érdemes legyártani és újrahasználni mindkét leckében (M3.2 Matching/kártyák; M7.4 Single Choice kvuca-típus választó). — Azonos négy ikon. Eltérés csak a felhasználásban: M3.2-ben kártyákon/oszlopfejekben/táblázatban ismétlődve, M7.4-ben Single Choice opciókhoz illesztett piktogramként (korosztály-címkével: 6–10 / 11–13 / 14–16 / 16+). A vizuális asset ugyanaz."
M6.3-FOTO-03,"M6.3-FOTO-03, M6.3-FOTO-02",fotó-kép,"Mindkét asset ugyanazt a vizuált írja le: egy kvuca együtt, egymás mellett dolgozik EGY NAGY KÖZÖS PLAKÁTON, sok kéz dolgozik rajta egyszerre. A HOOK jobb képe (FOTO-02) a 'kézműves mint közös élmény' pólus = pontosan a 'Közös kvuca-plakát' jelenet, amit a PÉLDA 1 képe (FOTO-03) is mutat ('sok kéz, rajzok, szavak, mindenki nyoma rajta van'). A lecke maga köti össze a kettőt: a HOOK ígérete (közös plakát = közös élmény) a PÉLDA 1-ben fizet ki. Egyetlen, jól komponált fotó/illusztráció mindkét helyen használható; a HOOK-ban a kontraszt-párként (FOTO-01 mellett), a SLIDE 3-on önállóan, a 'mindenki nyoma rajta' részlettel. A két alt-szöveg gyakorlatilag ugyanazt a tartalmat írja le. — Egyszer kell legyártani a 'kvuca közös nagy plakáton dolgozik, sok kéz' képet. HOOK-on (SLIDE 1) a FOTO-01 unott-színezős kontraszt-párjaként, kicsiben/párban jelenik meg; SLIDE 3-on (PÉLDA 1) önállóan, nagyban, a részletekre (rajzok, szavak, mindenki nyoma) fókuszálva. Ha a HOOK-kontraszthoz szorosabb keret kell, a kép kivágása/mérete eltérhet, de a forrásfotó/illusztráció ugyanaz."
"M1.1-LEI-01 (al-lecke: M1.1 – Johari-ablak ...md, SLIDE 1)","M1.1-LEI-01 (al-lecke: M1.1 – Johari-ablak – vakfoltjaim felismerése.md, SLIDE 1 HOOK), M1.1-LEI-01 (hub: M1 – „Vakfolt, tükör, feedback” ...md, §3/M1.1)",Szöveges ekvivalens (a11y),"Mindkettő UGYANANNAK az M1.1 AI beszélő-fej HOOK videónak a teljes narráció-transzkriptja. A hub-tétel (§3/M1.1/Eszközök) az M1.1 deliverable magas szintű a11y-bejegyzése; az al-lecke ugyanezt a HOOK-narrációt (SLIDE 1) bontja ki. Egy transzkriptot kell legyártani a videó tényleges narrációjából. — Azonos szöveg, egyszer írandó meg (a véglegesített HOOK-narrációból). Az al-lecke a kanonikus forrás (ott a teljes slide-szintű narráció él); a hub csak hivatkozik rá."
"M1.1-FEL-01 (al-lecke: M1.1 – Johari-ablak ...md, SLIDE 1)","M1.1-FEL-01 (al-lecke: M1.1 – Johari-ablak – vakfoltjaim felismerése.md, SLIDE 1 HOOK), M1.1-FEL-01 (hub: M1 – „Vakfolt, tükör, feedback” ...md, §3/M1.1)",Szöveges ekvivalens (a11y),"Mindkettő UGYANANNAK az M1.1 HOOK beszélő-fej videónak a szinkronizált magyar felirata. A felirat a forrás szerint szó szerint a narrációt közli; ugyanaz a videó → ugyanaz a feliratfájl. A hub-tétel csak az al-leckés videó feliratát summázza. — Egy SRT/VTT feliratfájl gyártandó a HOOK-narrációból, mindkét helyen ugyanaz használandó."
"M1.1-ALT-02 (al-lecke: M1.1 – Johari-ablak ...md, SLIDE 3 – feliratozott Johari-diagram)","M1.1-ALT-02 (al-lecke: M1.1 – Johari-ablak – vakfoltjaim felismerése.md, SLIDE 3), M1.1-ALT-01 (hub: M1 – „Vakfolt, tükör, feedback” ...md, §3/M1.1)",Szöveges ekvivalens (a11y),"Mindkettő UGYANANNAK a feliratozott Johari 2×2 diagramnak (nyitott/vakfolt/rejtett/ismeretlen) az alt-szövege. A hub explicit a 'statikus végállapotra' utal, ami az al-lecke SLIDE 3 teljes feliratozott diagramja. FIGYELEM: NEM az al-lecke M1.1-ALT-01-e, mert az a SLIDE 2 ÜRES, címke nélküli 2×2 váz – más asset. — Egy alt-szöveg gyártandó a feliratozott Johari-diagramhoz; a hub ugyanazt használja. Az üres-váz (al-lecke M1.1-ALT-01) külön marad."
"M1.3-FEL-01 (al-lecke: M1.3 – SBI-modell ...md, SLIDE 1)","M1.3-FEL-01 (al-lecke: M1.3 – SBI-modell – hogyan adjak korrekt visszajelzést_.md, SLIDE 1), M1.3-FEL-01 (hub: M1 – „Vakfolt, tükör, feedback” ...md, §3/M1.3)",Szöveges ekvivalens (a11y),"Mindkettő UGYANANNAK az M1.3 SBI Interactive Video dialógusának (Madrich A/B két verziója + '1. verzió'/'2. verzió – SBI-szerű' címke-overlay) a szinkronizált felirata. A hub-tétel az al-leckés IV feliratát summázza. — Egy feliratfájl gyártandó az SBI Interactive Video-hoz (mindkét verzió + címke-overlay), mindkét helyen ugyanaz."
"M1.3-LEI-01 (al-lecke: M1.3 – SBI-modell ...md, SLIDE 1)","M1.3-LEI-01 (al-lecke: M1.3 – SBI-modell – hogyan adjak korrekt visszajelzést_.md, SLIDE 1), M1.3-LEI-01 (hub: M1 – „Vakfolt, tükör, feedback” ...md, §3/M1.3)",Szöveges ekvivalens (a11y),"Mindkettő UGYANANNAK az M1.3 SBI Interactive Video-nak a teljes szöveges leirata (mindkét verzió dialógusa, S/B/I ikon-felvillanások, verziócímkék; a hub a beágyazott Single Choice kérdés/válaszok leírását is kéri). Ugyanaz a videó → egy transzkript. — Egy transzkript gyártandó az IV-hez; a hub változat a beágyazott Single Choice kérdést is felveheti ugyanabba a leiratba."
"Z.1-ALT-02 (al-lecke: Z.1 – „Visszanéző tükör” ...md, SLIDE 2 – Z.1-DIA-01 timeline)","Z.1-ALT-02 (al-lecke: Z.1 – „Visszanéző tükör” – M0–M7 timeline.md, SLIDE 2, Z.1-DIA-01), Z.1-ALT-01 (hub: Z – „Zárás & híd a terepre”.md, Z.1 blokk)",Szöveges ekvivalens (a11y),"Mindkettő UGYANANNAK az M0–M7 féléves idővonal-diagramnak (Z.1-DIA-01) az alt-szövege: 8 állomás balról jobbra, modul-kód + 1 kulcsmondat. A hub-tétel explicit a Z.1-DIA-01-re hivatkozik, ami az al-lecke SLIDE 2 timeline-ja. FIGYELEM: NEM az al-lecke Z.1-ALT-01-e, mert az a SLIDE 1 'sorozat-plakát' HOOK-ikon (Z.1-ILL-01) – más asset. — Egy alt-szöveg gyártandó a Z.1-DIA-01 timeline-diagramhoz; a Z hub ugyanazt használja. A sorozat-plakát ikon (al-lecke Z.1-ALT-01) külön marad."
M1.A-POSZ-01,"M1.A-POSZ-01, M1.A-POSZ-01",Print / fizikai,"Két azonos azonosítójú asset (M1.A-POSZ-01) szerepel: az egyik a részletes M1.A peula-fájlból, a másik a M1 modul-áttekintő fájlból. Mindkettő ugyanaz a nagy 2×2 Johari-ablak flipchart/poszter-sablon a négy mezővel (nyitott/vakfolt/rejtett/ismeretlen), élőben közösen kitöltve. Egy fizikai poszter, egyszer legyártandó. — Az áttekintő fájlbeli leírás rövidített; a részletes M1.A-fájl pontosabb forrás-feliratokat ad. Ugyanaz a sablon, nincs valós eltérés a gyártásban."
M1.A-MUNK-01,"M1.A-MUNK-01, M1.A-KART-01",Print / fizikai,"A modul-áttekintő M1.A-KART-01 ('Megfigyelés vagy címkézés?' kártyaszett) ugyanazt a fizikai médiát írja le, mint a részletes M1.A-MUNK-01 képzői segédlet/kártyák a 8 példamondattal (megfigyelés 👁️ / címke 🎭 besorolással). Ugyanaz a mondatszett, egyszer legyártva nyomtatható kártya/segédlet formában. — Az áttekintő 'kártyaszett'-ként, a részletes 'munkalap vagy kártyák'-ként hivatkozik rá – a részletes spec maga megengedi a kártyás kivitelt. Ugyanaz a tartalom."
M1.B-KART-01,"M1.B-KART-01, M1.B-KART-01",Print / fizikai,"Két azonos azonosítójú asset (M1.B-KART-01): a részletes M1.B peula-fájlból és a M1 modul-áttekintőből. Mindkettő az SBI-szerepjáték helyzetkártya-szettje (tipikus madrich-helyzetek, A ad / B kap / C megfigyel). Egy nyomtatható kártyaszett, egyszer legyártva. — Az áttekintő rövidebben hivatkozik; a részletes 5 verbatim szituációt sorol fel. Ugyanaz a szett."
M1.B-MUNK-01,"M1.B-MUNK-01, M1.B-MUNK-01",Print / fizikai,"Két azonos azonosítójú asset (M1.B-MUNK-01): a részletes peula-fájlból (trió-checklist a C megfigyelőnek S/B/I + címke + smiley-skála) és a modul-áttekintőből (megfigyelő-checklist munkalap S/B/I + hangnem). Ugyanaz az egyoldalas megfigyelő-munkalap. — Az áttekintő smiley-skála nélkül említi, de ugyanarra az asset-re utal (azonos ID, azonos szerep). Egyszer legyártandó."
M1.F-POSZ-01,"M1.F-POSZ-01, M1.F-POSZ-01",Print / fizikai,"Két azonos azonosítójú asset (M1.F-POSZ-01): a részletes M1.F-fájlból ('Melyik leckénél tartasz?' 5 soros állapot-tábla matrica-ragasztáshoz) és a modul-áttekintőből (progress-bar / haladás-vizuál a check-inhez). Ugyanaz a check-in állapotfelmérő flipchart-sablon az M1.1–M1.4 leckékhez. — Az áttekintő 'progress bar'-ként, a részletes '5 soros állapot-tábla'-ként írja le – ugyanaz a fizikai sablon. Egyszer legyártva."
M1.F-MUNK-02,"M1.F-MUNK-02, M1.F-MUNK-01",Print / fizikai,"A modul-áttekintő M1.F-MUNK-01 ('1 gondolat, 1 kérdés' jegyzetlap leckénként M1.1–M1.4) ugyanaz a jegyzetlap, mint a részletes M1.F-MUNK-02 ('1 mondat + 1 kérdés' jegyzetlap a csendes pótláshoz/Q&A-hoz). Ugyanaz az egyoldalas jegyzetlap-sablon, egyszer legyártva. — Az áttekintő explicit leckénkénti L1–L4 bontást ír; a részletes generikusabb '1 mondat + 1 kérdés'-t. Mindkettő ugyanaz a résztvevői jegyzetlap az M1.F-ben."
M1.F-POSZ-02,M1.F-POSZ-02,Print / fizikai,"Csak az áttekintő-fájlban szereplő M1.F közös fogalom-térkép sablon (Johari – megfigyelés/címke – SBI összekötése). A részletes M1.F-fájlban nincs ennek megfelelő külön fogalom-térkép asset (a részletes M1.F egy felzárkóztató peula, ami nem listáz fogalom-térkép posztert). Önálló, nem duplikátum – egytagú csoportként nem indokolt összevonni; kihagyva a csoportokból. — Egyedi; nincs párja. (Megjegyzés: ez NEM duplikátum, csak referenciaként szerepel.)"
M3.A-KART-02,"M3.A-KART-02, M3.A-KART-01",Print / fizikai,"A modul-áttekintő M3.A-KART-01 (kvuca-sztori kártyaszett Parparim–Zorea + Tuckman) ugyanaz a fizikai kártyaszett, mint a részletes M3.A-KART-02 fix 8 db nyomtatható kvuca-sztori szett (Parparim, Kivsza, Leviatan, Zorea helyzetekkel). Egy kártyaszett, egyszer legyártva. — Az áttekintő egyesíti a Tuckman-párosítást is; a részletes 8 konkrét sztorit nevez meg. Ugyanaz a kvuca-sztori szett."
M3.B-KART-01,"M3.B-KART-01, M3.B-KART-01",Print / fizikai,"Két azonos azonosítójú asset (M3.B-KART-01): a részletes M3.B-fájlból (4 red flag szituáció-kártya konkrét idézetekkel) és a modul-áttekintőből (red flag miniszínház szituációs kártyaszett). Ugyanaz a red flag szituáció-/szerepkártya-szett a miniszínházhoz. — Az áttekintő 'miniszínház szituációs'-ként, a részletes 4 verbatim esettel írja le. Ugyanaz a szett, egyszer legyártva."
M3.B-MUNK-01,"M3.B-MUNK-01, M3.B-POSZ-01",Print / fizikai,"A modul-áttekintő M3.B-POSZ-01 (gyerekvédelmi lépés-térkép poszter: észreveszem→jelzek→nem maradok egyedül→bevonás, kitölthető mezőkkel) ugyanaz a fizikai sablon, mint a részletes M3.B-MUNK-01 lépés-térkép flipchart-sablon (5 csomópontos folyamatábra, kvuca közösen tölti ki). Egy lépés-térkép-sablon, egyszer legyártva. — Az áttekintő 'poszter'-ként, a részletes 'flipchart-sablon/munkalap'-ként hivatkozik – ugyanaz a kitölthető folyamatábra. A lépésszerkezet szövegezése kissé eltér, de ugyanaz a média."
M3.F-POSZ-01,"M3.F-POSZ-01, M3.F-MUNK-02",Print / fizikai,"A modul-áttekintő M3.F-MUNK-02 (M3.1–M3.4 haladás-követő check-in tábla, matricás) ugyanaz a fizikai sablon, mint a részletes M3.F-POSZ-01 check-in állapotfelmérő tábla az M3 leckesorokkal (L1 Tuckman, L2 kvuca-profilok, L3 gyerekvédelem, L4 Do/Don't). Egy check-in állapotfelmérő tábla, egyszer legyártva. — Az áttekintő oszlopos (M3.1–M3.4), a részletes soros (L1–L4) leírást ad, de mindkettő ugyanaz a matricás haladás-tábla az M3.F check-injéhez."
M3.F-POSZ-02,"M3.F-POSZ-02, M3.F-MUNK-01",Print / fizikai,"A modul-áttekintő M3.F-MUNK-01 (M3 fogalom-térkép & '1 gondolat + 1 kérdés' munkalap) részben átfedi a részletes M3.F-POSZ-02 fogalom-térkép alaplapot (4–5 üres buborék: Tuckman, kvuca-profilok, gyerekvédelem, red flag, madrich). A fogalom-térkép-sablon ugyanaz a fizikai média. — FIGYELEM: az áttekintő M3.F-MUNK-01 KÉT dolgot egyesít (fogalom-térkép + jegyzetlap). A fogalom-térkép része egyezik az M3.F-POSZ-02-vel; a jegyzetlap-rész viszont az M3.F-MUNK-01 (részletes) jegyzetlappal egyezne. Mivel az áttekintő összevont, a fogalom-térkép kanonikusa az M3.F-POSZ-02. A jegyzetlap-vonatkozást külön csoport kezeli."
M3.F-MUNK-01,"M3.F-MUNK-01, M3.F-MUNK-02",Print / fizikai,"FIGYELEM az ID-ütközésre: a részletes M3.F-fájlban M3.F-MUNK-01 = jegyzetlap '1 gondolat/1 kérdés leckénként', M3.F-MUNK-02 = haladás check-in tábla; az áttekintő-fájlban ugyanezek az ID-k MÁS sorrendben (M3.F-MUNK-01 = fogalom-térkép+jegyzetlap, M3.F-MUNK-02 = haladás-tábla). A két jegyzetlap-szerepű asset ('1 gondolat/1 kérdés') ugyanaz az egyoldalas jegyzetlap-sablon, egyszer legyártva. — Az ID-k a két fájlban keresztben hivatkoznak. A 'jegyzetlap 1 gondolat/1 kérdés' fizikai média egy darab; a részletes M3.F-MUNK-01 a kanonikus. Az áttekintőben ennek párja a fogalom-térkép-munkalap jegyzetlap-fele."
M5.A-KART-01,"M5.A-KART-01, M5.A-KART-01",Print / fizikai,"Két azonos azonosítójú asset (M5.A-KART-01): a részletes M5.A-fájlból (12 helyzetkártya Suli/Somer/Random, kétoldalas) és a modul-áttekintőből (helyzetkártya-szett Suli/Somer/Random, 12–18 db). Ugyanaz a helyzetkártya-szett a 3 sarok játékhoz, egyszer legyártva. — Az áttekintő 12–18 db-ot említ, a részletes pontosan 12 verbatim kártyát ad meg (6. melléklet). Ugyanaz a szett; a darabszám a részletes forrás szerint pontosítandó."
M5.A-MUNK-01,"M5.A-MUNK-01, M5.A-POSZ-01",Print / fizikai,"A modul-áttekintő M5.A-POSZ-01 (csoportposzter-sablon: Feladat/Cél/Kvuca/Módszer fejlécekkel, gallery walkra) ugyanaz a fizikai sablon, mint a részletes M5.A-MUNK-01 poszter-sablon (4 mezős 'átöltöztetés' mini-táblázat: Feladat/cél, Kvuca, Módszer + kiinduló helyzet). Egy kiscsoportos poszter-sablon, egyszer legyártva. — Az áttekintő 4 fejlécet (Feladat/Cél/Kvuca/Módszer), a részletes 4 mezőt + kiinduló-helyzet sávot ad. Ugyanaz a fő gyakorlat-poszter; minimálisan eltérő mezőzés, de egy média."
M5.4-MUNK-01,"M5.4-MUNK-01, M5.4-MUNK-01",Print / fizikai,"Két azonos azonosítójú asset (M5.4-MUNK-01): a részletes M5.4 online-lecke fájlból (letölthető 'Feladat–kvuca–módszer + tanulástan' 4 oszlopos kitölthető sablon doc/sheet) és a modul-áttekintőből (minta-táblázat Feladat/cél – Kvuca – Módszer – Tanulástan-szemlélet). Ugyanaz a 4 oszlopos sablon-táblázat, egyszer legyártva. — Az áttekintő H5P Column-beágyazást is említ; a print/fizikai oldalon ugyanaz az egy kitölthető sablon (doc/sheet + nyomtatható). Egy média."
M5.F-POSZ-01,"M5.F-POSZ-01, M5.F-POSZ-01",Print / fizikai,"Két azonos azonosítójú asset (M5.F-POSZ-01): a részletes M5.F-fájlból (hőmérő-flipchart 'Melyik M5-leckéig jutottam?' L1–L4 sorokkal) és a modul-áttekintőből (progress-bar check-in tábla M5.1–M5.4 haladás). Ugyanaz a check-in haladás-sablon, egyszer legyártva. — Az áttekintő 'progress-bar'-ként, a részletes 'hőmérő-flipchart'-ként; mindkettő ugyanaz a matricás állapotfelmérő poszter az M5.F-hez."
M5.F-POSZ-02,"M5.F-POSZ-02, M5.F-POSZ-02",Print / fizikai,"Két azonos azonosítójú asset (M5.F-POSZ-02): a részletes M5.F-fájlból (fogalom-térkép flipchart-sablon, 3 nagy rész + nyilak: Suli/Somer/Random, Feladat→cél→kvuca→módszer, gyakorlás–visszahívás–spacing) és a modul-áttekintőből (fogalom-térkép sablon a táblára, ugyanaz a 3 kulcsfogalom-blokk). Egy fogalom-térkép-sablon, egyszer legyártva. — Tartalmilag és szerkezetileg azonos 3-blokkos fogalom-térkép váz. Egy média."
M6.B-MUNK-01,"M6.B-MUNK-01, M6-MUNK-01, M6.F-MUNK-02",Print / fizikai,"Mindhárom ugyanaz az üres, kitölthető játéklap-sablon (a M6 modul-produktum): M6-MUNK-01 (modul-áttekintő, kötött rovatok: eszköz típusa / cél+érték / kvuca+létszám / lépésleírás), M6.B-MUNK-01 (a workshop fő munkalapja, ugyanezek a mezők) és M6.F-MUNK-02 (offline B-terv + Study Lab üres játéklap-sablon ugyanezekkel a mezőkkel). Egy játéklap-sablon, egyszer legyártandó, mindenhol újrahasználva. — M6.B-MUNK-01 az elsődleges/forrás-sablon, amire M6-MUNK-01 és M6.F-MUNK-02 explicit visszahivatkozik ('a digitális/sablon nyomtatott változata'). Ugyanaz az egylapos játéklap; a felhasználási kontextus (workshop / modul-produktum / offline B-terv) eltér, de a média egy darab."
Z.A-MUNK-01,"Z.A-MUNK-01, Z.A-POSZ-01",Print / fizikai,"A Z modul-áttekintő Z.A-POSZ-01 ('Híd a terepre' kétoszlopos plakát-sablon: bal 'Mit tanultunk?', jobb 'Mit csinálunk másképp a terepen?') ugyanaz a fizikai poszter, mint a részletes Z.A-fájl Z.A-MUNK-01 'Híd a terepre' kétoszlopos poszter-sablonja ugyanezekkel a fejlécekkel. Egy plakát-sablon, egyszer legyártva. — FIGYELEM: a két fájlban a 'Híd a terepre' poszter eltérő ID-t kapott (részletes: MUNK-01; áttekintő: POSZT-01). Ugyanaz a kétoszlopos plakát. A kanonikus a részletes Z.A-MUNK-01."
Z.A-POSZ-01,"Z.A-POSZ-01, Z.A-POSZ-02",Print / fizikai,"A Z modul-áttekintő Z.A-POSZ-02 (lezáró rituálé közös 'felhő' plakát-sablon, ahová az 1 szót felragasztják) ugyanaz a fizikai poszter, mint a részletes Z.A-fájl Z.A-POSZ-01 'Mit viszek magammal?' szó-felhő fejléc-poszter (központi cím + üres felület a cetliknek). Egy szó-felhő plakát, egyszer legyártva. — FIGYELEM az ID-ütközésre: a kanonikus Z.A-POSZ-01 a részletes Z.A-fájl szó-felhő posztere; a Z áttekintő-fájl Z.A-POSZ-02-je ugyanaz a 'felhő' plakát. A részletes 'Mit viszek magammal?' címet ad, az áttekintő generikusabb 'felhő'-motívumot – ugyanaz a média."
